epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,575.258,1.66379,2.19729,1.484,0.20048,0.04848,0.00038,0.00016,2.09845,145.847,2.69632,0.070625,0.00326389,0.00326389
2,1161.83,1.66809,1.44607,1.58917,0.02473,0.13806,0.00872,0.00493,1.8976,85.287,2.20374,0.0404271,0.00639931,0.00639931
3,1760.14,1.56144,1.2802,1.5263,0.20647,0.42244,0.2138,0.10906,1.79155,5.64459,2.29566,0.0100292,0.00933472,0.00933472
4,2318.7,1.54282,1.18289,1.51642,0.57841,0.34798,0.30177,0.15177,1.58407,24.512,1.63257,0.0091,0.0091,0.0091
5,2871.48,1.52085,1.10349,1.49379,0.49861,0.79431,0.54239,0.28479,1.80038,66.1146,1.82455,0.0088,0.0088,0.0088
6,3473.12,1.46981,1.02171,1.45452,0.65136,0.66492,0.71568,0.3871,1.53052,6.52495,1.54144,0.0085,0.0085,0.0085
7,4406.94,1.47073,0.99294,1.44875,0.42004,0.56019,0.59864,0.29279,1.73532,9.43832,1.77631,0.0082,0.0082,0.0082
8,5334.06,1.47872,0.95975,1.44719,0.84931,0.72172,0.89105,0.50268,1.41792,2.34448,1.45126,0.0079,0.0079,0.0079
9,6170.21,1.42924,0.90402,1.41689,0.83551,0.91113,0.92803,0.52456,1.45057,1.30489,1.48528,0.0076,0.0076,0.0076
10,6828.69,1.43677,0.89509,1.40794,0.85618,0.87477,0.94443,0.53124,1.44621,0.95371,1.4385,0.0073,0.0073,0.0073
11,7556.99,1.38732,0.83174,1.37753,0.80589,0.95055,0.88981,0.49556,1.46575,1.05467,1.48725,0.007,0.007,0.007
12,8361.37,1.42967,0.86458,1.40039,0.86545,0.90274,0.93906,0.54572,1.38148,0.83223,1.42202,0.0067,0.0067,0.0067
13,8956.83,1.38805,0.83121,1.37149,0.96665,0.83688,0.94813,0.51676,1.46383,0.79909,1.44844,0.0064,0.0064,0.0064
14,9556.13,1.37182,0.8187,1.37522,0.87677,0.89465,0.93706,0.54849,1.37627,0.75545,1.40427,0.0061,0.0061,0.0061
15,10154.3,1.36763,0.80375,1.36213,0.94294,0.88625,0.95778,0.53202,1.43704,0.69051,1.44897,0.0058,0.0058,0.0058
16,10753.8,1.36972,0.78232,1.35559,0.86139,0.84338,0.90321,0.52813,1.38218,0.8597,1.40973,0.0055,0.0055,0.0055
17,11582.8,1.3579,0.74875,1.3493,0.92396,0.84214,0.94608,0.53781,1.39802,1.54379,1.38835,0.0052,0.0052,0.0052
18,12651.8,1.37065,0.76697,1.36099,0.83893,0.96422,0.97239,0.55969,1.43291,0.71012,1.43931,0.0049,0.0049,0.0049
19,13759,1.33103,0.73583,1.33419,0.94411,0.94868,0.98207,0.57148,1.38669,0.63588,1.41759,0.0046,0.0046,0.0046
20,14863.9,1.32058,0.72462,1.31473,0.8635,0.93112,0.95784,0.55824,1.34905,0.74779,1.37642,0.0043,0.0043,0.0043
21,16230.4,1.25312,0.63067,1.34528,0.783,0.95343,0.93346,0.54426,1.32698,0.8058,1.36933,0.004,0.004,0.004
22,17611.6,1.24681,0.60354,1.33633,0.95415,0.94633,0.96644,0.57583,1.37155,0.6509,1.40506,0.0037,0.0037,0.0037
23,18500,1.23037,0.58719,1.32927,0.83771,0.9315,0.97761,0.58641,1.32016,0.64405,1.37279,0.0034,0.0034,0.0034
24,19262,1.21302,0.58006,1.32104,0.90125,0.96259,0.9633,0.59049,1.30613,0.60723,1.35269,0.0031,0.0031,0.0031
25,20109.8,1.1843,0.5647,1.29726,0.94523,0.92107,0.95516,0.59878,1.30213,0.61584,1.35407,0.0028,0.0028,0.0028
26,21175.8,1.17114,0.53627,1.29774,0.95634,0.96327,0.98781,0.63221,1.28747,0.57094,1.3273,0.0025,0.0025,0.0025
27,21966.7,1.17109,0.53411,1.29292,0.92714,0.98519,0.98397,0.61861,1.28668,0.5547,1.33979,0.0022,0.0022,0.0022
28,22520.4,1.15025,0.51726,1.27335,0.95836,0.96988,0.98813,0.60349,1.31672,0.54585,1.35062,0.0019,0.0019,0.0019
29,23085.8,1.12953,0.50668,1.26632,0.96138,0.98203,0.9899,0.66194,1.25328,0.52493,1.31648,0.0016,0.0016,0.0016
30,23836,1.12427,0.50174,1.26384,0.94428,0.98632,0.98528,0.64336,1.27054,0.52485,1.3223,0.0013,0.0013,0.0013
